v8-version,4,6,85,31,0
code-creation,CallIC,8,0xe02c6414920,634,"A call IC from the snapshot"
code-creation,Stub,2,0xe02c6414ba0,458,"ToObjectStub"
code-creation,Handler,3,0xe02c6414d80,272,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6414ea0,462,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6415080,220,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6415160,372,"JSEntryStub"
code-creation,Stub,11,0xe02c64152e0,458,"BinaryOpICStub"
code-creation,Stub,11,0xe02c64154c0,292,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6415600,434,"BinaryOpICStub"
code-creation,Stub,2,0xe02c64157c0,958,"StoreFastElementStub"
code-creation,Stub,2,0xe02c6415b80,234,"CallFunctionStub"
code-creation,Handler,3,0xe02c6415c80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c6415d00,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c6415d80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c6415e00,220,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6415ee0,152,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c6415f80,634,"A call IC from the snapshot"
code-creation,Handler,3,0xe02c6416200,220,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c64162e0,220,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c64163c0,113,"A call IC from the snapshot"
code-creation,CallIC,8,0xe02c6416440,527,"A call IC from the snapshot"
code-creation,Stub,11,0xe02c6416660,256,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6416760,1786,"RecordWriteStub"
code-creation,Stub,2,0xe02c6416e60,1222,"FastNewContextStub"
code-creation,Handler,3,0xe02c6417340,160,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c64173e0,566,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,3,0xe02c6417620,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c64176a0,458,"BinaryOpICStub"
code-creation,Stub,12,0xe02c6417880,173,"CompareICStub"
code-creation,CallIC,8,0xe02c6417940,113,"A call IC from the snapshot"
code-creation,CallIC,8,0xe02c64179c0,533,"A call IC from the snapshot"
code-creation,Stub,2,0xe02c6417be0,524,"CallConstructStub"
code-creation,Handler,3,0xe02c6417e00,220,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6417ee0,586,"ArraySingleArgumentConstructorStub"
code-creation,Stub,2,0xe02c6418140,1077,"StringAddStub"
code-creation,Stub,11,0xe02c6418580,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,2,0xe02c6418600,1177,"BinaryOpWithAllocationSiteStub"
code-creation,Stub,2,0xe02c6418aa0,507,"NumberToStringStub"
code-creation,Stub,2,0xe02c6418ca0,182,"DoubleToIStub"
code-creation,Stub,2,0xe02c6418d60,382,"FastNewContextStub"
code-creation,Stub,11,0xe02c6418ee0,152,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6418f80,112,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6419000,972,"NameDictionaryLookupStub"
code-creation,Stub,11,0xe02c64193e0,438,"BinaryOpICStub"
code-creation,Stub,11,0xe02c64195a0,344,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6419700,438,"BinaryOpICStub"
code-creation,Handler,3,0xe02c64198c0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6419940,606,"ArraySingleArgumentConstructorStub"
code-creation,Stub,11,0xe02c6419ba0,458,"BinaryOpICStub"
code-creation,CallIC,8,0xe02c6419d80,113,"A call IC from the snapshot"
code-creation,CallIC,8,0xe02c6419e00,634,"A call IC from the snapshot"
code-creation,Handler,3,0xe02c641a080,120,"An IC handler from the snapshot"
code-creation,Stub,12,0xe02c641a100,173,"CompareICStub"
code-creation,Handler,3,0xe02c641a1c0,614,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c641a440,494,"FastNewContextStub"
code-creation,Stub,11,0xe02c641a640,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c641a720,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c641a800,332,"BinaryOpICStub"
code-creation,Stub,2,0xe02c641a960,1394,"FastNewContextStub"
code-creation,Stub,2,0xe02c641aee0,422,"FastNewContextStub"
code-creation,Stub,12,0xe02c641b0a0,173,"CompareICStub"
code-creation,CallIC,8,0xe02c641b160,113,"A call IC from the snapshot"
code-creation,Stub,11,0xe02c641b1e0,364,"BinaryOpICStub"
code-creation,LoadIC,6,0xe02c641b360,514,"A load IC from the snapshot"
code-creation,Stub,2,0xe02c641b580,336,"StoreFastElementStub"
